Mariner	Tc1-Mariner
hAT	hAT
PIF-Harbinger	PIF-Harbinger
PiggyBac	PiggyBac
Merlin	Merlin
Transib	Transib
CACTA	CACTA
P	P
Academ	Academ
MuDR	MuDR
Helitron	Helitron
Crypton	Crypton
Maverick	Maverick
RTE	RTE
undefined	?
Ginger2	Ginger2/TDD
Ginger1	Ginger1
ISL2EU	ISL2EU
Copia	Copia
Gypsy	Gypsy
Bel-Pao	Bel-Pao
Retrovirus	Retrovirus
ERV	ERV
DIRS	DIRS:VIPER:Ngaro
Penelope	Penelope
R2	R2
RTE	RTE
Jockey	Jockey
L1	L1
I	I
tRNA	tRNA
7SL	7SL
5S	5S
>Tase	Mariner:hAT:PIF-Harbinger:PiggyBac:Merlin:Transib:CACTA:P:MuDR
>Tase*	Mariner:hAT:PIF-Harbinger:PiggyBac:Merlin:Transib:CACTA:P:MuDR
>ORF1	L1:Jockey:I
>ORF2	CACTA
>RPA	Helitron
>HEL	Helitron
>C-INT	Maverick
>CYP	Maverick
>PY	Maverick
>ATP	Maverick
>GAG	Copia:Gypsy:Bel-Pao:Retrovirus:ERV:DIRS:Ngaro:VIPER
>AP	Copia:Gypsy:Bel-Pao:Retrovirus:ERV:DIRS:Ngaro:VIPER
>RT	Copia:Gypsy:Bel-Pao:Retrovirus:ERV:DIRS:Ngaro:VIPER:Penelope:R2:RTE:Jockey:L1:I
>RH	Copia:Gypsy:Bel-Pao:Retrovirus:ERV:DIRS:Ngaro:VIPER:I
>RTRH	Copia:Gypsy:Bel-Pao:Retrovirus:ERV:DIRS:Ngaro:VIPER:I
>INT	Copia:Gypsy:Bel-Pao:Retrovirus:ERV:DIRS
>ENV	Retrovirus:ERV:Gypsy
>YR	Crypton:DIRS:Ngaro:VIPER
>EN	Penelope:R2
>POL	Copia:Gypsy:Bel-Pao:Retrovirus:ERV
>APE	RTE:Jockey:L1:I
>OTHER	undefined
